"filename", "language", "JSON", "JavaScript", "HTML", "Ruby", "Markdown", "YAML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/haru/Desktop/haruapp/config/environments/development.rb", "Ruby", 0, 0, 0, 28, 0, 0, 0, 0, 27, 22, 77
"/Users/haru/Desktop/haruapp/config/environments/production.rb", "Ruby", 0, 0, 0, 24, 0, 0, 0, 0, 68, 29, 121
"/Users/haru/Desktop/haruapp/config/environments/test.rb", "Ruby", 0, 0, 0, 21, 0, 0, 0, 0, 23, 17, 61
"/Users/haru/Desktop/haruapp/config/initializers/application_controller_renderer.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
"/Users/haru/Desktop/haruapp/config/initializers/assets.rb", "Ruby", 0, 0, 0, 2, 0, 0, 0, 0, 9, 4, 15
"/Users/haru/Desktop/haruapp/config/initializers/backtrace_silencers.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 5, 3, 9
"/Users/haru/Desktop/haruapp/config/initializers/content_security_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"/Users/haru/Desktop/haruapp/config/initializers/cookies_serializer.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 3, 2, 6
"/Users/haru/Desktop/haruapp/config/initializers/devise.rb", "Ruby", 0, 0, 0, 17, 0, 0, 0, 0, 242, 55, 314
"/Users/haru/Desktop/haruapp/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 2, 2, 7
"/Users/haru/Desktop/haruapp/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/Users/haru/Desktop/haruapp/config/initializers/mime_types.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"/Users/haru/Desktop/haruapp/config/initializers/permissions_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"/Users/haru/Desktop/haruapp/config/initializers/wrap_parameters.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 8, 4, 15
"/Users/haru/Desktop/haruapp/config/locales/devise.en.yml", "YAML", 0, 0, 0, 0, 0, 63, 0, 0, 1, 2, 66
"/Users/haru/Desktop/haruapp/config/locales/en.yml", "YAML", 0, 0, 0, 0, 0, 2, 0, 0, 30, 2, 34
"/Users/haru/Desktop/haruapp/config/puma.rb", "Ruby", 0, 0, 0, 8, 0, 0, 0, 0, 28, 8, 44
"/Users/haru/Desktop/haruapp/config/routes.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"/Users/haru/Desktop/haruapp/config/spring.rb", "Ruby", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/haru/Desktop/haruapp/config/storage.yml", "YAML", 0, 0, 0, 0, 0, 6, 0, 0, 23, 6, 35
"/Users/haru/Desktop/haruapp/config/webpack/development.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/haru/Desktop/haruapp/config/webpack/environment.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/haru/Desktop/haruapp/config/webpack/production.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/haru/Desktop/haruapp/config/webpack/test.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/haru/Desktop/haruapp/config/webpacker.yml", "YAML", 0, 0, 0, 0, 0, 66, 0, 0, 11, 16, 93
"/Users/haru/Desktop/haruapp/db/migrate/20240603124455_create_tweets.rb", "Ruby", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"/Users/haru/Desktop/haruapp/db/migrate/20240603130205_devise_create_users.rb", "Ruby", 0, 0, 0, 14, 0, 0, 0, 0, 21, 10, 45
"/Users/haru/Desktop/haruapp/db/migrate/20240606100655_add_details_to_users.rb", "Ruby", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/haru/Desktop/haruapp/db/migrate/20240606105046_create_likes.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/haru/Desktop/haruapp/db/migrate/20240608075653_add_image_to_tweets.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/haru/Desktop/haruapp/db/migrate/20240608082326_create_relationships.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/haru/Desktop/haruapp/db/migrate/20240608143656_add_detail_to_tweets.rb", "Ruby", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/haru/Desktop/haruapp/db/migrate/20240621112044_create_tags.rb", "Ruby", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/haru/Desktop/haruapp/db/migrate/20240621112052_create_tweet_tag_relations.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/haru/Desktop/haruapp/db/schema.rb", "Ruby", 0, 0, 0, 66, 0, 0, 0, 0, 11, 9, 86
"/Users/haru/Desktop/haruapp/db/seeds.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 7, 1, 17
"/Users/haru/Desktop/haruapp/package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/haru/Desktop/haruapp/postcss.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
